Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2016/17

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel elever (%) behöriga till yrkesprogram;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;Andel elever (%) ej behöriga;
Hörby;1266;Skåne län;12;Kommunal;Samtliga;161;75,8;74,5;72,0;69,6;24,2;
Hörby;1266;Skåne län;12;Enskild;Samtliga;21;~100;~100;~100;~100;..;
Höör;1267;Skåne län;12;Samtliga;Samtliga;183;77,0;76,0;74,3;72,1;23,0;
Höör;1267;Skåne län;12;Kommunal;Samtliga;162;77,2;75,9;74,1;71,6;22,8;
Höör;1267;Skåne län;12;Enskild;Samtliga;21;76,2;76,2;76,2;76,2;..;
Jokkmokk;2510;Norrbottens län;25;Samtliga;Samtliga;39;82,1;79,5;79,5;79,5;..;
Jokkmokk;2510;Norrbottens län;25;Kommunal;Samtliga;31;83,9;83,9;83,9;83,9;..;
Jokkmokk;2510;Norrbottens län;25;Enskild;Samtliga;..;..;..;..;..;..;
Järfälla;0123;Stockholms län;01;Samtliga;Samtliga;905;83,6;82,5;80,6;80,3;16,4;
Järfälla;0123;Stockholms län;01;Kommunal;Samtliga;702;79,8;78,6;76,5;75,9;20,2;
Järfälla;0123;Stockholms län;01;Enskild;Samtliga;203;97,0;96,1;94,6;95,6;..;
Jönköping;0680;Jönköpings län;06;Samtliga;Samtliga;1 455;83,6;82,8;81,5;80,3;16,4;
